tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title
"['json', 'comments']","{'account_id': 2896, 'reputation': 106205, 'user_id': 4105, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/b478ef877842b1da9cdead7848572372?s=256&d=identicon&r=PG', 'display_name': 'Michael Gundlach', 'link': 'https://stackoverflow.com/users/4105/michael-gundlach'}",True,3434146,08-09-2017,244858,59,9377,06-05-2023,28-10-2008,05-07-2022,244777,CC BY-SA 4.0,https://stackoverflow.com/questions/244777/can-comments-be-used-in-json,Can comments be used in JSON?
"['git', 'version-control', 'overwrite', 'git-pull', 'git-fetch']","{'account_id': 34672, 'reputation': 98667, 'user_id': 98046, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/i1oB2.jpg?s=256&g=1', 'display_name': 'Jakub Troszok', 'link': 'https://stackoverflow.com/users/98046/jakub-troszok'}",True,7796942,30-09-2013,8888015,52,9357,03-05-2023,14-07-2009,18-07-2022,1125968,CC BY-SA 4.0,https://stackoverflow.com/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files,How do I force &quot;git pull&quot; to overwrite local files?
"['memory-management', 'stack', 'language-agnostic', 'dynamic-memory-allocation', 'heap-memory']","{'account_id': 7550, 'reputation': 92883, 'user_id': 13161, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e3dcbde38b1f70c77b1db642f31a223d?s=256&d=identicon&r=PG', 'display_name': 'mattshane', 'link': 'https://stackoverflow.com/users/13161/mattshane'}",True,1858901,13-09-2011,80113,32,9283,20-05-2023,17-09-2008,05-07-2022,79923,CC BY-SA 4.0,https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,What and where are the stack and heap?
"['html', 'browser', 'background-color']","{'account_id': 206969, 'reputation': 86237, 'user_id': 456584, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/uoYDJ.png?s=256&g=1', 'display_name': 'user456584', 'link': 'https://stackoverflow.com/users/456584/user456584'}",True,738709,06-02-2013,8333464,9,8664,22-02-2023,29-11-2011,06-06-2022,8318911,CC BY-SA 4.0,https://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color,Why does HTML think “chucknorris” is a color?
"['javascript', 'jquery', 'dom', 'visibility']","{'account_id': 11297, 'reputation': 129423, 'user_id': 21709, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/3ea9c684a2db319df788cecc6c98f9cd?s=256&d=identicon&r=PG', 'display_name': 'Philip Morton', 'link': 'https://stackoverflow.com/users/21709/philip-morton'}",True,3134046,04-01-2020,178450,65,8597,23-06-2023,07-10-2008,05-07-2022,178325,CC BY-SA 4.0,https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery,How do I check if an element is hidden in jQuery?
"['git', 'git-checkout', 'remote-branch']","{'account_id': 60038, 'reputation': 87633, 'user_id': 179467, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/e736f7016a80c3807e7cace569024ab8?s=256&d=identicon&r=PG', 'display_name': 'Juri Glass', 'link': 'https://stackoverflow.com/users/179467/juri-glass'}",True,8017536,09-05-2013,1783426,42,8414,27-05-2023,23-11-2009,18-07-2022,1783405,CC BY-SA 4.0,https://stackoverflow.com/questions/1783405/how-do-i-check-out-a-remote-git-branch,How do I check out a remote Git branch?
"['javascript', 'syntax', 'jslint', 'use-strict']","{'account_id': 12984, 'reputation': 96307, 'user_id': 25847, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/34d142b034e7b194fc1708f3b20d9568?s=256&d=identicon&r=PG', 'display_name': 'Mark Rogers', 'link': 'https://stackoverflow.com/users/25847/mark-rogers'}",True,1206060,10-06-2013,1335881,31,8406,11-06-2023,26-08-2009,05-07-2022,1335851,CC BY-SA 4.0,https://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,"What does &quot;use strict&quot; do in JavaScript, and what is the reasoning behind it?"
"['python', 'namespaces', 'program-entry-point', 'python-module', 'idioms']","{'account_id': 21259, 'reputation': 176905, 'user_id': 51518, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/eb5a95cb1be342c4089183cd8232a7f2?s=256&d=identicon&r=PG', 'display_name': 'Devoted', 'link': 'https://stackoverflow.com/users/51518/devoted'}",True,4436878,06-04-2013,419185,46,8028,06-07-2023,07-01-2009,14-11-2022,419163,CC BY-SA 4.0,https://stackoverflow.com/questions/419163/what-does-if-name-main-do,What does if __name__ == &quot;__main__&quot;: do?
"['git', 'branch', 'git-branch']","{'account_id': 3385, 'reputation': 341914, 'user_id': 4883, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/a92525f049e20db8f4ce3d62f3f0bb2b?s=256&d=identicon&r=PG', 'display_name': 'readonly', 'link': 'https://stackoverflow.com/users/4883/readonly'}",True,3039904,,64966,41,7975,12-10-2022,14-09-2008,03-08-2022,61212,CC BY-SA 4.0,https://stackoverflow.com/questions/61212/how-do-i-remove-local-untracked-files-from-the-current-git-working-tree,How do I remove local (untracked) files from the current Git working tree?
"['git', 'gitignore', 'git-rm']","{'account_id': 9225, 'reputation': 96569, 'user_id': 16957, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/c5380b957ff8ce5cb14cf2282ffeb720?s=256&d=identicon&r=PG', 'display_name': 'Ivan', 'link': 'https://stackoverflow.com/users/16957/ivan'}",True,2171614,07-09-2017,1274447,33,7869,10-05-2023,13-08-2009,25-07-2022,1274057,CC BY-SA 4.0,https://stackoverflow.com/questions/1274057/how-do-i-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitignore,"How do I make Git forget about a file that was tracked, but is now in .gitignore?"
"['python', 'operators', 'conditional-operator']","{'account_id': 21259, 'reputation': 176905, 'user_id': 51518, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/eb5a95cb1be342c4089183cd8232a7f2?s=256&d=identicon&r=PG', 'display_name': 'Devoted', 'link': 'https://stackoverflow.com/users/51518/devoted'}",True,2781809,10-06-2013,394814,32,7739,05-06-2023,27-12-2008,06-06-2022,394809,CC BY-SA 4.0,https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,Does Python have a ternary conditional operator?
"['javascript', 'jquery', 'redirect']","{'account_id': 19254, 'reputation': 102335, 'user_id': 44984, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/7rqob.jpg?s=256&g=1', 'display_name': 'venkatachalam', 'link': 'https://stackoverflow.com/users/44984/venkatachalam'}",True,7658926,12-11-2015,506004,58,7703,01-07-2023,02-02-2009,06-02-2018,503093,CC BY-SA 3.0,https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,How do I redirect to another webpage?
"['java', 'methods', 'parameter-passing', 'pass-by-reference', 'pass-by-value']","{'account_id': 3050, 'reputation': 4775, 'user_id': 4315, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG', 'display_name': 'user4315', 'link': 'https://stackoverflow.com/users/4315/user4315'}",True,2619110,24-06-2011,,91,7697,02-07-2023,02-09-2008,14-02-2023,40480,CC BY-SA 4.0,https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,Is Java &quot;pass-by-reference&quot; or &quot;pass-by-value&quot;?
"['git', 'git-commit', 'git-rewrite-history', 'git-amend']","{'account_id': 4836, 'reputation': 135984, 'user_id': 7473, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/9218dd1115bc620ec1ea79fd0368da8e?s=256&d=identicon&r=PG', 'display_name': 'Laurie Young', 'link': 'https://stackoverflow.com/users/7473/laurie-young'}",True,3467653,02-04-2013,179147,27,7650,25-01-2022,07-10-2008,02-05-2019,179123,CC BY-SA 4.0,https://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commit-messages,"How to modify existing, unpushed commit messages?"
"['javascript', 'function', 'variables', 'scope', 'closures']","{'account_id': 6018, 'reputation': 576591, 'user_id': 9951, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/5bde6be7c103aa64082aa254f66deb51?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Bite code', 'link': 'https://stackoverflow.com/users/9951/bite-code'}",True,1612692,19-09-2011,111111,86,7621,10-04-2023,21-09-2008,09-04-2017,111102,CC BY-SA 3.0,https://stackoverflow.com/questions/111102/how-do-javascript-closures-work,How do JavaScript closures work?
"['git', 'git-checkout', 'git-reset', 'git-revert']","{'account_id': 38676, 'reputation': 76330, 'user_id': 111174, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/94f2f4d10581cebd4432a10f66fec19f?s=256&d=identicon&r=PG', 'display_name': 'Crazy Serb', 'link': 'https://stackoverflow.com/users/111174/crazy-serb'}",True,10054355,23-09-2017,4114122,41,7611,04-07-2023,06-11-2010,16-12-2019,4114095,CC BY-SA 4.0,https://stackoverflow.com/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit,How do I revert a Git repository to a previous commit?
"['javascript', 'function', 'methods', 'syntax']","{'account_id': 15105, 'reputation': 87669, 'user_id': 31569, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/2d71a937d0e784ea99153ce46afb9fb1?s=256&d=identicon&r=PG', 'display_name': 'Richard Garside', 'link': 'https://stackoverflow.com/users/31569/richard-garside'}",True,1202253,10-06-2013,336868,41,7573,14-06-2023,03-12-2008,14-02-2023,336859,CC BY-SA 4.0,https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname,var functionName = function() {} vs function functionName() {}
"['java', 'date', 'timezone']","{'account_id': 137777, 'reputation': 193276, 'user_id': 342235, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/88e5a9eb011a73ab970ddc8cfb05ff85?s=256&d=identicon&r=PG', 'display_name': 'Freewind', 'link': 'https://stackoverflow.com/users/342235/freewind'}",True,788077,09-06-2015,6841479,10,7499,20-05-2023,27-07-2011,20-05-2023,6841333,CC BY-SA 4.0,https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-epoch-milli-times-in-year-1927-giving-a-strange-r,Why is subtracting these two epoch-milli Times (in year 1927) giving a strange result?
"['c#', '.net', 'string', 'types', 'alias']","{'account_id': 444, 'reputation': 25674, 'user_id': 571, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/c1f0bb6c6d36ab5aba3fdacd1db03bf1?s=256&d=identicon&r=PG', 'display_name': 'Lance Fisher', 'link': 'https://stackoverflow.com/users/571/lance-fisher'}",True,1290592,22-04-2012,7077,66,7480,28-04-2023,10-08-2008,28-04-2023,7074,CC BY-SA 4.0,https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c,What is the difference between String and string in C#?
"['javascript', 'string', 'substring', 'string-matching']","{'account_id': 44798, 'reputation': 18786, 'user_id': 131679, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/4cb7f78dca34d0e27931f743f3aa1f30?s=256&d=identicon&r=PG', 'display_name': 'gramm', 'link': 'https://stackoverflow.com/users/131679/gramm'}",True,7705032,02-11-2012,1789952,3,7407,18-10-2022,24-11-2009,03-04-2019,1789945,CC BY-SA 4.0,https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript,How to check whether a string contains a substring in JavaScript?
