owner,score,last_edit_date,last_activity_date,creation_date,post_type,post_id,content_license,link
"{'account_id': 5546, 'reputation': 235312, 'user_id': 8985, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/0f5f0ea6a2dc7ed3cb5830377a4fe7e2?s=256&d=identicon&r=PG', 'display_name': 'Ryan McGeary', 'link': 'https://stackoverflow.com/users/8985/ryan-mcgeary'}",16196,17-06-2020,17-06-2020,03-02-2009,answer,506004,CC BY-SA 4.0,https://stackoverflow.com/a/506004
"{'account_id': 33084, 'reputation': 140101, 'user_id': 92315, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/d2824c2017a878f6fe05db2797694608?s=256&d=identicon&r=PG', 'display_name': 'Fabien M&#233;nager', 'link': 'https://stackoverflow.com/users/92315/fabien-m%c3%a9nager'}",15702,18-10-2022,18-10-2022,24-11-2009,answer,1789952,CC BY-SA 4.0,https://stackoverflow.com/a/1789952
"{'account_id': 4105, 'reputation': 278315, 'user_id': 6068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/931970b8dc51b72e05e3a12b88612d61?s=256&d=identicon&r=PG', 'display_name': 'pupeno', 'link': 'https://stackoverflow.com/users/6068/pupeno'}",13642,18-07-2022,30-05-2023,15-11-2008,question,292357,CC BY-SA 4.0,https://stackoverflow.com/q/292357
"{'account_id': 2573628, 'reputation': 135961, 'user_id': 2231815, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1597c347e309f696ff1738128444702b?s=256&d=identicon&r=PG', 'display_name': 'rakib_', 'link': 'https://stackoverflow.com/users/2231815/rakib'}",13206,22-10-2022,22-10-2022,06-06-2013,answer,16957078,CC BY-SA 4.0,https://stackoverflow.com/a/16957078
"{'account_id': 17710, 'reputation': 135542, 'user_id': 39933, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/d07c1f81d10a1d147d6b5cb80fa1c654?s=256&d=identicon&r=PG', 'display_name': 'genehack', 'link': 'https://stackoverflow.com/users/39933/genehack'}",13202,05-07-2022,05-07-2022,07-12-2008,answer,348234,CC BY-SA 4.0,https://stackoverflow.com/a/348234
"{'account_id': 227725, 'reputation': 146169, 'user_id': 489564, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/b802fc38893a1abf9e8f955ac78ceb99?s=256&d=identicon&r=PG', 'display_name': 'RNA', 'link': 'https://stackoverflow.com/users/489564/rna'}",12885,01-05-2023,01-05-2023,17-01-2012,answer,8888015,CC BY-SA 4.0,https://stackoverflow.com/a/8888015
"{'account_id': 9828, 'reputation': 142650, 'user_id': 18300, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/jcyI4.jpg?s=256&g=1', 'display_name': 'Alex. S.', 'link': 'https://stackoverflow.com/users/18300/alex-s'}",12650,21-06-2023,21-06-2023,23-10-2008,question,231767,CC BY-SA 4.0,https://stackoverflow.com/q/231767
"{'account_id': 3774, 'reputation': 203952, 'user_id': 5486, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/750159e9cdab58c4b6547d382311c9af?s=256&d=identicon&r=PG', 'display_name': 'Ryan Lundy', 'link': 'https://stackoverflow.com/users/5486/ryan-lundy'}",12485,15-05-2023,15-05-2023,28-07-2011,answer,6866485,CC BY-SA 4.0,https://stackoverflow.com/a/6866485
"{'account_id': 41301, 'reputation': 476505, 'user_id': 119963, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tBCc0.jpg?s=256&g=1', 'display_name': 'Cascabel', 'link': 'https://stackoverflow.com/users/119963/cascabel'}",12025,11-06-2021,11-06-2021,06-11-2010,answer,4114122,CC BY-SA 4.0,https://stackoverflow.com/a/4114122
"{'account_id': 11683, 'reputation': 1411740, 'user_id': 22656, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/6d8ebb117e8d83d74ea95fbdd0f87e13?s=256&d=identicon&r=PG', 'display_name': 'Jon Skeet', 'link': 'https://stackoverflow.com/users/22656/jon-skeet'}",11816,27-03-2023,27-03-2023,27-07-2011,answer,6841479,CC BY-SA 4.0,https://stackoverflow.com/a/6841479
"{'account_id': 151241, 'reputation': 127589, 'user_id': 364969, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/79e7cefc9e7deb0e0bf422baa1a38a2c?s=256&d=identicon&r=PG', 'display_name': 'Walker', 'link': 'https://stackoverflow.com/users/364969/walker'}",11535,06-02-2023,03-07-2023,23-04-2011,question,5767325,CC BY-SA 4.0,https://stackoverflow.com/q/5767325
"{'account_id': 21746, 'reputation': 641645, 'user_id': 53114, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/cd501083459cbc21fccae78e2d03bee2?s=256&d=identicon&r=PG', 'display_name': 'Gumbo', 'link': 'https://stackoverflow.com/users/53114/gumbo'}",11459,22-05-2021,22-05-2021,25-01-2009,answer,477819,CC BY-SA 4.0,https://stackoverflow.com/a/477819
"{'account_id': 7412, 'reputation': 235112, 'user_id': 12870, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/f0af40756420859b5b63cbceb6d30505?s=256&d=identicon&r=PG', 'display_name': 'Oli', 'link': 'https://stackoverflow.com/users/12870/oli'}",11436,29-08-2022,12-06-2023,25-01-2009,question,477816,CC BY-SA 4.0,https://stackoverflow.com/q/477816
"{'account_id': 680, 'reputation': 945709, 'user_id': 893, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/747ffa5da3538e66840ebc0548b8fd58?s=256&d=identicon&r=PG', 'display_name': 'Greg Hewgill', 'link': 'https://stackoverflow.com/users/893/greg-hewgill'}",11384,23-01-2023,23-01-2023,15-11-2008,answer,292359,CC BY-SA 4.0,https://stackoverflow.com/a/292359
"{'account_id': 74526, 'reputation': 122985, 'user_id': 214090, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NxW6o.jpg?s=256&g=1', 'display_name': 'hallski', 'link': 'https://stackoverflow.com/users/214090/hallski'}",11375,27-05-2023,27-05-2023,23-11-2009,answer,1783426,CC BY-SA 4.0,https://stackoverflow.com/a/1783426
"{'account_id': 135377, 'reputation': 122043, 'user_id': 338204, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/c145a12cd17d3b3ffff033681a694abe?s=256&d=identicon&r=PG', 'display_name': 'Forrest', 'link': 'https://stackoverflow.com/users/338204/forrest'}",11293,25-07-2022,24-03-2023,06-07-2011,question,6591213,CC BY-SA 4.0,https://stackoverflow.com/q/6591213
"{'account_id': 7974, 'reputation': 152597, 'user_id': 14069, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/0c29cc6ee1c170810ee1fd36fa7c2f95?s=256&d=identicon&r=PG', 'display_name': 'oz10', 'link': 'https://stackoverflow.com/users/14069/oz10'}",11099,25-07-2022,01-02-2023,07-12-2008,question,348170,CC BY-SA 4.0,https://stackoverflow.com/q/348170
"{'account_id': 36459, 'reputation': 40659, 'user_id': 104014, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/3d186f3c6ad2de59b356c1cfad9af404?s=256&d=identicon&r=PG', 'display_name': 'Artem Barger', 'link': 'https://stackoverflow.com/users/104014/artem-barger'}",10263,09-05-2023,09-05-2023,23-05-2009,answer,901144,CC BY-SA 4.0,https://stackoverflow.com/a/901144
"{'account_id': 12822, 'reputation': 105596, 'user_id': 25449, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aa86ccb4573a66e08b7f169fb00814b1?s=256&d=identicon&r=PG', 'display_name': 'Tsvetomir Tsonev', 'link': 'https://stackoverflow.com/users/25449/tsvetomir-tsonev'}",10196,31-07-2021,31-07-2021,07-10-2008,answer,178450,CC BY-SA 4.0,https://stackoverflow.com/a/178450
"{'account_id': 31692, 'reputation': 493099, 'user_id': 87234, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/FkjBe.png?s=256&g=1', 'display_name': 'GManNickG', 'link': 'https://stackoverflow.com/users/87234/gmannickg'}",10035,30-03-2023,10-04-2023,29-10-2009,question,1642028,CC BY-SA 4.0,https://stackoverflow.com/q/1642028
